epoch,train_loss,train_acc,eval_eer,eval_eer_threshold,lr,epoch_seconds,timestamp
1,13.088365261371319,0.0,0.3212,0.6713426853707414,9.890738003669029e-05,420.57,2026-09-03T12:55:17
2,9.716638870728321,0.045940170940170943,0.28675,0.6152304609218435,9.567727288213005e-05,427.29,2026-09-03T13:06:49
3,5.8722163163698635,0.19284188034188035,0.2587,0.4629258517034067,9.045084971874738e-05,420.93,2026-09-03T13:18:40
4,2.8379821349412966,0.4780982905982906,0.20135,0.3066132264529058,8.345653031794292e-05,412.72,2026-09-03T13:30:13
5,1.2671029292620146,0.7334401709401709,0.18619999999999998,0.2985971943887775,7.500000000000001e-05,420.55,2026-09-03T13:41:54
6,0.5946778586277595,0.8595085470085471,0.15815,0.25450901803607207,6.545084971874738e-05,421.6,2026-09-03T13:53:33
7,0.26083044230173796,0.9321581196581197,0.15025,0.24248496993987967,5.522642316338269e-05,413.88,2026-09-03T14:05:08
8,0.16203099833084986,0.9663461538461539,0.14375,0.23046092184368727,4.4773576836617344e-05,410.24,2026-09-03T14:16:39
9,0.08493523180293731,0.9845085470085471,0.1609,0.23046092184368727,3.454915028125264e-05,414.11,2026-09-03T14:28:10
10,0.055643099503448375,0.9898504273504274,0.1446,0.222444889779559,2.5000000000000018e-05,418.07,2026-09-03T14:39:46
11,0.05298371130648332,0.9855769230769231,0.14415,0.21442885771543074,1.654346968205711e-05,420.27,2026-09-03T14:51:25
