epoch,train_loss,train_acc,eval_eer,eval_eer_threshold,lr,epoch_seconds,timestamp
1,13.73302275425679,0.0,,,9.890738003669029e-05,755.46,2026-09-04T19:05:39
2,10.964742338335192,0.0005630630630630631,,,9.567727288213005e-05,740.57,2026-09-04T19:18:00
3,8.032144494958827,0.03688063063063063,,,9.045084971874738e-05,704.1,2026-09-04T19:29:44
4,5.749403798902357,0.14808558558558557,,,8.345653031794292e-05,703.97,2026-09-04T19:41:28
5,4.3249019932102515,0.2604166666666667,,,7.500000000000001e-05,695.39,2026-09-04T19:53:04
6,3.242953886856904,0.3848536036036036,,,6.545084971874738e-05,694.27,2026-09-04T20:04:38
7,2.5861663544500195,0.4769144144144144,,,5.522642316338269e-05,707.12,2026-09-04T20:16:25
8,2.109391866503535,0.5518018018018018,,,4.4773576836617344e-05,743.93,2026-09-04T20:28:49
9,1.7541270376862705,0.606418918918919,,,3.454915028125264e-05,711.65,2026-09-04T20:40:41
10,1.4738507625218984,0.6525900900900901,,,2.5000000000000018e-05,709.97,2026-09-04T20:52:31
11,1.3242723136334806,0.6928490990990991,,,1.654346968205711e-05,738.33,2026-09-04T21:04:49
12,1.2561643631071657,0.7131193693693694,,,9.549150281252635e-06,718.27,2026-09-04T21:16:48
13,1.1415334907737937,0.7266328828828829,,,4.322727117869952e-06,714.36,2026-09-04T21:28:42
14,1.1231737757051312,0.7319819819819819,,,1.092619963309716e-06,693.84,2026-09-04T21:40:16
15,1.1292206065074817,0.7339527027027027,,,0.0,707.9,2026-09-04T21:52:04
