epoch,train_loss,train_acc,eval_eer,eval_eer_threshold,lr,epoch_seconds,timestamp
1,13.020098234477796,0.0,0.30075,0.6633266533066131,9.890738003669029e-05,356.9,2026-09-04T00:47:25
2,9.686732555690565,0.05592105263157895,0.2281,0.6312625250501,9.567727288213005e-05,410.0,2026-09-04T00:59:04
3,5.803493932673805,0.22807017543859648,0.18330000000000002,0.5230460921843687,9.045084971874738e-05,425.65,2026-09-04T01:10:56
4,2.934340376602976,0.4994517543859649,0.17395,0.4348697394789578,8.345653031794292e-05,412.19,2026-09-04T01:22:22
5,1.434426243367948,0.7171052631578947,0.15284999999999999,0.3747494989979958,7.500000000000001e-05,414.22,2026-09-04T01:33:58
6,0.7463130747017107,0.8426535087719298,0.1412,0.3306613226452906,6.545084971874738e-05,412.03,2026-09-04T01:45:33
7,0.4004315361380577,0.9073464912280702,0.15375,0.3186372745490982,5.522642316338269e-05,414.01,2026-09-04T01:57:06
8,0.21887957647834955,0.9495614035087719,0.13855,0.2865731462925851,4.4773576836617344e-05,418.14,2026-09-04T02:08:44
9,0.12392244733085758,0.9725877192982456,0.1414,0.2945891783567134,3.454915028125264e-05,409.9,2026-09-04T02:20:21
10,0.07829322891407892,0.9841008771929824,0.12645,0.2344689378757514,2.5000000000000018e-05,407.84,2026-09-04T02:31:44
11,0.06041219761889232,0.987390350877193,0.12664999999999998,0.22645290581162314,1.654346968205711e-05,423.69,2026-09-04T02:43:33
12,0.05062699619386541,0.9923245614035088,0.12915,0.23046092184368727,9.549150281252635e-06,418.52,2026-09-04T02:55:13
13,0.0413916771496205,0.9917763157894737,0.1291,0.22645290581162314,4.322727117869952e-06,428.99,2026-09-04T03:06:56
