epoch,train_loss,train_acc,eval_eer,eval_eer_threshold,lr,epoch_seconds,timestamp
1,13.639247142093282,0.0,,,9.890738003669029e-05,773.73,2026-09-05T06:28:08
2,10.003034537946673,0.023474178403755867,,,9.567727288213005e-05,778.49,2026-09-05T06:41:07
3,5.921277486102682,0.17517605633802816,,,9.045084971874738e-05,761.33,2026-09-05T06:53:48
4,3.0602472265001754,0.4727112676056338,,,8.345653031794292e-05,760.74,2026-09-05T07:06:29
5,1.562925291733003,0.6913145539906104,,,7.500000000000001e-05,766.21,2026-09-05T07:19:15
6,0.8333606749353274,0.8245305164319249,,,6.545084971874738e-05,745.14,2026-09-05T07:31:40
7,0.4619915306987897,0.9002347417840375,,,5.522642316338269e-05,782.26,2026-09-05T07:44:43
8,0.2561823661688348,0.943075117370892,,,4.4773576836617344e-05,782.27,2026-09-05T07:57:45
9,0.16036090727003527,0.9677230046948356,,,3.454915028125264e-05,760.35,2026-09-05T08:10:26
10,0.1058417083826703,0.9768192488262911,,,2.5000000000000018e-05,754.27,2026-09-05T08:23:00
11,0.07686892461398957,0.9870892018779343,,,1.654346968205711e-05,796.46,2026-09-05T08:36:16
12,0.059760919863909065,0.9900234741784038,,,9.549150281252635e-06,751.66,2026-09-05T08:48:48
13,0.04991113125595828,0.9938380281690141,,,4.322727117869952e-06,749.46,2026-09-05T09:01:18
14,0.04193080350441832,0.994131455399061,,,1.092619963309716e-06,776.2,2026-09-05T09:14:14
15,0.04084853387214768,0.9938380281690141,,,0.0,776.49,2026-09-05T09:27:11
