epoch,train_loss,train_acc,eval_eer,eval_eer_threshold,lr,epoch_seconds,timestamp
1,11.47020767597442,0.007978723404255319,0.2783,0.6312625250501,9.890738003669029e-05,1170.85,2026-09-09T02:00:46
2,6.244894821593102,0.17287234042553193,0.20675,0.4509018036072143,9.567727288213005e-05,1175.53,2026-09-09T02:28:19
3,2.993468577557422,0.4434840425531915,0.1542,0.3627254509018034,9.045084971874738e-05,1174.47,2026-09-09T02:55:56
4,1.4362738500250147,0.6748670212765957,0.15345,0.29058116232464926,8.345653031794292e-05,1188.36,2026-09-09T03:23:40
5,0.7604569316385908,0.8025265957446809,0.125,0.2865731462925851,7.500000000000001e-05,1180.58,2026-09-09T03:51:20
6,0.4142310558719204,0.8849734042553191,0.11605,0.29058116232464926,6.545084971874738e-05,1179.64,2026-09-09T04:19:19
7,0.24483286963894646,0.930186170212766,0.12555,0.27855711422845686,5.522642316338269e-05,1173.81,2026-09-09T04:46:55
8,0.1400930887395318,0.9627659574468085,0.11185,0.26653306613226446,4.4773576836617344e-05,1170.29,2026-09-09T05:14:38
9,0.09209214337417816,0.9820478723404256,0.11435,0.26653306613226446,3.454915028125264e-05,1170.87,2026-09-09T05:42:09
10,0.06780648944364424,0.9787234042553191,0.1197,0.2705410821643286,2.5000000000000018e-05,1170.56,2026-09-09T06:09:36
11,0.03906443849406602,0.9933510638297872,0.11699999999999999,0.26252505010020033,1.654346968205711e-05,1172.99,2026-09-09T06:37:03
