epoch,train_loss,train_acc,eval_eer,eval_eer_threshold,lr,epoch_seconds,timestamp
1,13.605622269890524,0.0,0.19630233822729745,0.659318637274549,9.938441702975689e-05,1067.41,2026-09-05T12:19:31
2,9.310740319165317,0.03290719696969697,0.13261283306144644,0.470941883767535,9.755282581475769e-05,967.1,2026-09-05T12:37:16
3,4.968751731244001,0.2540246212121212,0.1022294725394236,0.3627254509018034,9.45503262094184e-05,952.4,2026-09-05T12:54:48
4,2.4841834049333227,0.5319602272727273,0.1137846655791191,0.3827655310621241,9.045084971874738e-05,975.57,2026-09-05T13:12:38
5,1.1824419769373806,0.7469223484848485,0.10943447525829256,0.32665330661322645,8.535533905932738e-05,988.66,2026-09-05T13:30:44
6,0.5936171046712182,0.8695549242424242,0.10399673735725938,0.37875751503005994,7.938926261462366e-05,968.5,2026-09-05T13:48:36
7,0.31939782413908024,0.9289772727272727,0.09815116911364873,0.34268537074148275,7.269952498697734e-05,961.96,2026-09-05T14:06:18
8,0.16985767169601537,0.9661458333333334,0.08938281674823273,0.3627254509018034,6.545084971874738e-05,932.2,2026-09-05T14:23:29
9,0.10451469782062552,0.9763257575757576,0.11038607939097336,0.36673346693386755,5.782172325201156e-05,1004.22,2026-09-05T14:41:52
10,0.06513499143660408,0.9888731060606061,0.09482055464926589,0.29058116232464926,5.000000000000001e-05,965.88,2026-09-05T14:59:34
11,0.04012817991050807,0.9936079545454546,0.08312941816204458,0.2945891783567134,4.217827674798848e-05,927.37,2026-09-05T15:16:42
12,0.029082784386859697,0.9955018939393939,0.08380913539967375,0.27855711422845686,3.454915028125264e-05,993.49,2026-09-05T15:34:53
13,0.02391841159921817,0.9959753787878788,0.08095432300163133,0.282565130260521,2.730047501302267e-05,938.83,2026-09-05T15:52:19
14,0.021652976876463403,0.9969223484848485,0.07952691680261012,0.30260521042084165,2.0610737385376356e-05,960.77,2026-09-05T16:09:56
15,0.013651624253146689,0.9997632575757576,0.074836867862969,0.282565130260521,1.464466094067263e-05,950.29,2026-09-05T16:27:22
16,0.014833323837427253,0.9988162878787878,0.0753126699293094,0.27855711422845686,9.549150281252635e-06,948.93,2026-09-05T16:44:51
17,0.01358202081808651,0.998342803030303,0.07748776508972267,0.27855711422845686,5.4496737905816115e-06,921.06,2026-09-05T17:01:48
18,0.014849185634044592,0.998342803030303,0.07728384991843393,0.2865731462925851,2.4471741852423237e-06,957.41,2026-09-05T17:19:22
19,0.013735517986457457,0.998342803030303,0.07565252854812399,0.282565130260521,6.155829702431171e-07,978.68,2026-09-05T17:37:15
20,0.01261070655097931,0.9981060606060606,0.0771479064709081,0.282565130260521,0.0,936.36,2026-09-05T17:54:30
